tipo,id,codice,titolo,testo,data_start,data_stop,tipo_com,tipo_com_filtro,tipo_com_desc,nome_file,richieste,id_relazione,conf_lettura,flag_risp,testo_risp,file_risp,flag_accettazione,modificato,evento_data
msg_new,193753,91,CIRC 40 XIX Congresso Nazionale AID. Vivere la dislessia: tra opportunità e ostacoli.,XIX Congresso Nazionale AID. Vivere la dislessia: tra opportunità e ostacoli.,2025-09-15,2026-08-31,4,4,Comunicazione - Circolare,,1001,1205017,non_letto,0,,,0,0,15-09-2025
msg_new,202969,93,CIRC 42 AVVIO MENSA 22 SETTEMBRE 2025,AVVIO MENSA 22 SETTEMBRE 2025,2025-09-15,2026-08-31,4,4,Comunicazione - Circolare,,1001,1223973,non_letto,0,,,0,0,15-09-2025
msg_new,206932,96,circ. n. 45 partecipazione specialisti glo ,circ. n. 45 partecipazione specialisti glo ,2025-09-15,2026-06-30,null,null,Altro,,0000,1260534,non_letto,0,,,0,0,15-09-2025
msg_new,179998,85,Orari di trasporto scolastico per la seconda settimana a.s. 2025-2026,"Si allega in pdf il prospetto con gli orari di trasporto per la seconda settimana dell' anno scolastico 2025-2026, da lunedì 15 a venerdì 19 settembre.

Si prega di prenderne visione 
",2025-09-12,2025-11-30,3,3,Comunicazione - News,,0000,1085858,non_letto,0,,,0,0,12-09-2025
msg_new,145084,70,Circ. 24 AUGURI DI BUON ANNO SCOLASTICO 2025-2026,Circ. 24 AUGURI DI BUON ANNO SCOLASTICO 2025-2026,2025-09-10,2025-09-17,null,null,Altro,,0000,767209,non_letto,0,,,0,0,10-09-2025
msg_new,146394,73,CIRC. 12 Somministrazione di farmaci a scuola – Procedura da seguire per i genitori – Indicazioni per il personale anno scolastico 2025/2026,"Circ. 12 Somministrazione di farmaci a scuola – Procedura da seguire per i genitori –
Indicazioni per il personale anno scolastico 2025/2026",2025-09-10,2025-09-17,null,null,Altro,,0000,775394,non_letto,0,,,0,0,10-09-2025
msg_new,145848,72,Circ. 26 RACCOLTA SOMME DI DENARO – REGALI O ALTRE UTILITÀ -DISPOSIZIONE NORMATIVE,"Circ. 26 RACCOLTA SOMME DI DENARO – REGALI O ALTRE UTILITÀ
-DISPOSIZIONE NORMATIVE",2025-09-10,2025-09-17,null,null,Altro,,0000,771815,non_letto,0,,,0,0,10-09-2025
msg_new,136632,67,Orari di trasporto scolastico per la  prima settimana a.s. 2025-2026,"In riferimento alle vostre precedenti comunicazioni, si allega in pdf il prospetto con gli orari di trasporto per la prima settimana dell' anno scolastico 2025-2026, da mercoledì 10 a venerdì 12 settembre.
Si prega di prenderne visione.

Grazie per la collaborazione.
",2025-09-09,2025-09-16,3,3,Comunicazione - News,,1001,683014,non_letto,0,,,0,0,09-09-2025
msg_new,136793,68,CIRC 22 PATTO EDUCATIVO DI CORRESPONSABILITA',PATTO EDUCATIVO DI CORRESPONSABILITA',2025-09-09,2026-08-31,4,4,Comunicazione - Circolare,,1001,697207,non_letto,0,,,0,0,09-09-2025
msg_new,86744,57,Indicazioni sull’abbigliamento degli alunni,Indicazioni sull’abbigliamento degli alunni,2025-09-08,2026-08-31,4,4,Comunicazione - Circolare,,0000,553487,non_letto,0,,,0,0,08-09-2025
msg_new,82064,51,Circolare n.9 Uscita autonoma alunni,Circolare n.9 Uscita autonoma alunni,2025-09-04,2026-08-31,null,null,Altro,,0000,390417,non_letto,0,,,0,0,04-09-2025
msg_new,81571,48,CIRC. N 06 ORARIO PRIMI GIORNI SCUOLA PRIMARIA E SCUOLA SECONDARIA A.S. 2025/2026 E INIZIO MENSA,"CIRC. N. 06 ORARIO PRIMI GIORNI SCUOLA PRIMARIA E SCUOLA SECONDARIA
A.S. 2025/2026 E INIZIO MENSA

",2025-09-03,2026-08-31,4,4,Comunicazione - Circolare,,0000,361704,non_letto,0,,,0,0,03-09-2025
msg_new,81573,49,Circ. n.7 DISTRIBUZIONE GRATUITA DEL DIARIO SCOLASTICO E DEL QUADERNO DIDATTICO A.S. 2025/2026,"Circ. n.7 DISTRIBUZIONE GRATUITA DEL DIARIO SCOLASTICO E DEL
QUADERNO DIDATTICO A.S. 2025/2026",2025-09-03,2026-08-31,null,null,Altro,,0000,362615,non_letto,0,,,0,0,03-09-2025
msg_new,80899,43,Circolare n1,RICHIESTA ENTRATA ANTICIPATA,2025-09-02,2026-08-31,4,4,Comunicazione - Circolare,,1001,292451,non_letto,0,,,0,0,02-09-2025
msg_new,80906,44,Circolare n2,"COMUNICAZIONE ALLERGIE E /O INTOLLERANZE ALIMENTARI
DEGLI ALUNNI - A.S. 2025/2026",2025-09-02,2026-08-31,4,4,Comunicazione - Circolare,,0000,293741,non_letto,0,,,0,0,02-09-2025
msg_new,81211,46,Circolare n4  uscita alunni minori 14 anni,Circolare n.4 uscita alunni minori anni 14,2025-09-02,2026-08-31,null,null,Altro,,0000,326524,non_letto,0,,,0,0,02-09-2025
msg_new,80602,42,"Avviso di vendita di materiali fuori uso e di beni non più utilizzabili, ai sensi dell’art. 34 del Decreto Interministeriale 28 agosto 2018, n. 129  ","Avviso di vendita di materiali fuori uso e di beni non più utilizzabili, ai sensi dell’art. 34 del Decreto Interministeriale 28 agosto 2018, n. 129  ",2025-09-01,2026-08-31,3,3,Comunicazione - News,,0000,262131,non_letto,0,,,0,0,01-09-2025
msg_new,34863,40,CIRC 495 REFERENTI DI PLESSO A.S. 2025/2026,REFERENTI DI PLESSO A.S. 2025/2026,2025-08-29,2026-08-31,4,4,Comunicazione - Circolare,,1001,195991,non_letto,0,,,0,0,29-08-2025
msg_new,61381,41,Rettifica circolare 495-Referenti di plesso.,"A parziale rettifica di quanto comunicato nella circolare 495, si evidenzia che, per mero errore materiale, è stato indicato il nominativo di Vianello Stefania come referente del Plesso Marconi, anzichè il nominativo della prof.ssa Vianello Alessandra.
(alessandra.vianello@icparolari.edu.it)

Cordiali saluti,
Il Dirigente Scolastico
",2025-08-29,2026-09-01,1,1,Comunicazione - Scuola/famiglia,,0000,211638,non_letto,0,,,0,0,29-08-2025
msg_new,34533,30,CIRC 490 CONTRIBUTO VOLONTARIO A.S. 2025/2026,CONTRIBUTO VOLONTARIO A.S. 2025/2026,2025-08-28,2026-08-31,4,4,Comunicazione - Circolare,,1001,163282,non_letto,0,,,0,0,28-08-2025
msg_new,34227,27,CIRC 488 Informativa privacy a.s. 2025-2026 ,CIRC 488 Informativa privacy a.s. 2025-2026 ,2025-08-26,2026-08-31,4,4,Comunicazione - Circolare,,1001,125619,non_letto,0,,,0,0,26-08-2025
msg_new,3399,18,CIRC. 484 DELEGA PRELIEVO ALUNNO DA SCUOLA A.S. 2025/2026 ,CIRC. 484 DELEGA PRELIEVO ALUNNO DA SCUOLA A.S. 2025/2026 ,2025-08-20,2026-08-31,4,4,Comunicazione - Circolare,,0000,88386,non_letto,0,,,0,0,20-08-2025
msg_new,3402,19,CIRC. 485 USCITA AUTONOMA ALUNNI e MEZZO DI TRASPORTO UTILIZZATO AL TERMINE DELL’ORARIO DELLE LEZIONI SCUOLA PRIMARIA E SCUOLA SECONDARIA DI I GRADO - AUTORIZZAZIONI  ,CIRC. 485 USCITA AUTONOMA ALUNNI e MEZZO DI TRASPORTO UTILIZZATO AL TERMINE DELL’ORARIO DELLE LEZIONI SCUOLA PRIMARIA E SCUOLA SECONDARIA DI I GRADO - AUTORIZZAZIONI  ,2025-08-20,2026-08-31,4,4,Comunicazione - Circolare,,0000,89470,non_letto,0,,,0,0,20-08-2025
msg_new,2212,13,Circ. 480 TRASMISSIONE REGOLAMENTO DEL SERVIZIO DI RISTORAZIONE SCOLASTICA E NOTA DI TRASMISSIONE DEL 10-01-2025 ,Circ. 480 TRASMISSIONE REGOLAMENTO DEL SERVIZIO DI RISTORAZIONE SCOLASTICA E NOTA DI TRASMISSIONE DEL 10-01-2025 ,2025-08-18,2026-08-31,4,4,Comunicazione - Circolare,,0000,79188,non_letto,0,,,0,0,18-08-2025
